"resistance_id","resistance","contact_material_1_id","contact_material_2_id","mat_1_ra","mat_2_ra","mat_1_rz","mat_2_rz","mat_1_rsm","mat_2_rsm","mat_1_rmr","mat_2_rmr","ambient_pressure","interface_temperature","contact_pressure","heat_flux","description","ref_id"
181,416.013,9,4,0.000014,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3546470.0,0.0,稳态法,5
182,397.386,9,4,0.000014,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3962830.0,0.0,稳态法,5
183,374.998,9,4,0.000014,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4431230.0,0.0,稳态法,5
184,369.789,9,4,0.000014,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4847580.0,0.0,稳态法,5
185,369.789,9,4,0.000014,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,5301120.0,0.0,稳态法,5
186,832.026,9,4,0.000001,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,453532.0,0.0,稳态法,5
187,832.026,9,4,0.000001,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,899628.0,0.0,稳态法,5
188,739.579,9,4,0.000001,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1323420.0,0.0,稳态法,5
189,700.653,9,4,0.000001,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1769520.0,0.0,稳态法,5
190,682.688,9,4,0.000001,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2208180.0,0.0,稳态法,5
191,665.621,9,4,0.000001,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2661710.0,0.0,稳态法,5
192,633.925,9,4,0.000001,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3085500.0,0.0,稳态法,5
193,605.11,9,4,0.000001,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3531600.0,0.0,稳态法,5
194,578.801,9,4,0.000001,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3947960.0,0.0,稳态法,5
195,566.486,9,4,0.000001,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4416360.0,0.0,稳态法,5
196,566.486,9,4,0.000001,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4840150.0,0.0,稳态法,5
197,554.684,9,4,0.000001,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,5278810.0,0.0,稳态法,5
198,157.494,9,9,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,478571.0,0.0,稳态法,5
199,113.285,9,9,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,900000.0,0.0,稳态法,5
200,83.8603,9,9,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1335710.0,0.0,稳态法,5
201,65.6669,9,9,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1757140.0,0.0,稳态法,5
202,52.6406,9,9,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2185710.0,0.0,稳态法,5
203,44.842,9,9,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2642860.0,0.0,稳态法,5
